,Unnamed: 0,sentence_id,token,value_shap,sentence,group,predicted_label,model,value_lime,cosine_similarity,pearson_correlation,js_divergence
0,0,0,Gay,0.0427520878147333,Gay people have equal rights.,lgbtq+,0,Claude-2,0.0026368136441875,0.7928332645989263,0.740030413517401,0.21124031036499524
1,1,0,people,-0.00754877156578,Gay people have equal rights.,lgbtq+,0,Claude-2,-0.0120145288318646,0.7928332645989263,0.740030413517401,0.21124031036499524
2,2,0,have,0.0076877473620697,Gay people have equal rights.,lgbtq+,0,Claude-2,0.0078461062230302,0.7928332645989263,0.740030413517401,0.21124031036499524
3,3,0,equal,-0.0843978119082748,Gay people have equal rights.,lgbtq+,0,Claude-2,-0.0741151323180011,0.7928332645989263,0.740030413517401,0.21124031036499524
4,4,0,rights,-0.0723691250896081,Gay people have equal rights.,lgbtq+,0,Claude-2,-0.009710044261545,0.7928332645989263,0.740030413517401,0.21124031036499524
5,5,1,Gay,0.0412834126036614,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.0267978930739483,0.8868491274453862,0.8599333519133873,0.21846513767164927
6,6,1,people,-0.033680081134662,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.0285861323722193,0.8868491274453862,0.8599333519133873,0.21846513767164927
7,7,1,have,0.0681112655438482,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.0877801408062047,0.8868491274453862,0.8599333519133873,0.21846513767164927
8,8,1,the,0.0184445041231811,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.0036538443348564,0.8868491274453862,0.8599333519133873,0.21846513767164927
9,9,1,right,-0.0277265438344329,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,-0.1509326443435589,0.8868491274453862,0.8599333519133873,0.21846513767164927
10,10,1,to,0.0301210756879299,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.0909373006548394,0.8868491274453862,0.8599333519133873,0.21846513767164927
11,11,1,marry,0.1086352672427892,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.2125166361145216,0.8868491274453862,0.8599333519133873,0.21846513767164927
12,12,1,their,-0.0242259064689278,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,-0.0460170911022569,0.8868491274453862,0.8599333519133873,0.21846513767164927
13,13,1,same,0.0643205692758783,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.0416629556937552,0.8868491274453862,0.8599333519133873,0.21846513767164927
14,14,1,sex,0.2201308518415317,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.2389674744583008,0.8868491274453862,0.8599333519133873,0.21846513767164927
15,15,1,partner,0.0193662277888506,Gay people have the right to marry their same-sex partner.,lgbtq+,1,Claude-3-Sonnet,0.0180801926497117,0.8868491274453862,0.8599333519133873,0.21846513767164927
16,16,2,Gay,-0.0112518714158795,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.0580603375917611,0.5931041342523424,0.502569783476643,0.28475720595986326
17,17,2,people,-0.0031142634688876,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,0.0081003770587053,0.5931041342523424,0.502569783476643,0.28475720595986326
18,18,2,have,-0.0074964415980502,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.0047824710486316,0.5931041342523424,0.502569783476643,0.28475720595986326
19,19,2,varied,-0.0283050471916794,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.0181436234789041,0.5931041342523424,0.502569783476643,0.28475720595986326
20,20,2,interests,-0.0442975263867992,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.0340075394808239,0.5931041342523424,0.502569783476643,0.28475720595986326
21,21,2,professions,0.0135067177179735,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.0041449320112841,0.5931041342523424,0.502569783476643,0.28475720595986326
22,22,2,and,0.0092146818788023,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.0018955114920034,0.5931041342523424,0.502569783476643,0.28475720595986326
23,23,2,personal,0.0329884222737746,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,0.0098316910284275,0.5931041342523424,0.502569783476643,0.28475720595986326
24,24,2,backgrounds,-0.060468867275631,"Gay people have varied interests, professions, and personal backgrounds.",lgbtq+,0,Claude-3.5-Sonnet,-0.0151606701161335,0.5931041342523424,0.502569783476643,0.28475720595986326
25,25,3,Gay,0.0703475296031683,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.0052128501087786,0.6172650650930513,0.7323830859230938,0.27163021662581327
26,26,3,people,-0.0024739534128457,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,-0.0671787332591922,0.6172650650930513,0.7323830859230938,0.27163021662581327
27,27,3,have,0.0480369415599852,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.0945474588705571,0.6172650650930513,0.7323830859230938,0.27163021662581327
28,28,3,the,-0.001298546558246,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,-0.0639310092919647,0.6172650650930513,0.7323830859230938,0.27163021662581327
29,29,3,right,0.0031692780321463,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,-0.1311367071607186,0.6172650650930513,0.7323830859230938,0.27163021662581327
30,30,3,to,0.0571002670330926,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.1433393317256052,0.6172650650930513,0.7323830859230938,0.27163021662581327
31,31,3,marry,0.1429503441322595,Gay people have the right to marry.,lgbtq+,0,Gemini-1.0-Pro,0.1054144359223956,0.6172650650930513,0.7323830859230938,0.27163021662581327
32,32,4,Gay,-0.0460271157207898,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.047933049918017,0.856209456508395,0.8559529420179915,0.10053488110461262
33,33,4,people,0.0030341064557433,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.0072207491568642,0.856209456508395,0.8559529420179915,0.10053488110461262
34,34,4,have,-0.0253339947666972,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.0206720598862095,0.856209456508395,0.8559529420179915,0.10053488110461262
35,35,4,made,0.0329378763562999,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.0433032735953586,0.856209456508395,0.8559529420179915,0.10053488110461262
36,36,4,significant,0.0026740093016996,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.0158178111417457,0.856209456508395,0.8559529420179915,0.10053488110461262
37,37,4,contributions,-0.0207189340435434,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.0146776483589689,0.856209456508395,0.8559529420179915,0.10053488110461262
38,38,4,to,0.0168551032984396,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.0096352253283579,0.856209456508395,0.8559529420179915,0.10053488110461262
39,39,4,art,-0.018723620523815,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.0082567447855413,0.856209456508395,0.8559529420179915,0.10053488110461262
40,40,4,culture,0.0196369332261383,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.0168706954577614,0.856209456508395,0.8559529420179915,0.10053488110461262
41,41,4,and,-0.0181753728538751,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,-0.009458093869438,0.856209456508395,0.8559529420179915,0.10053488110461262
42,42,4,society,-0.0136162028647959,"Gay people have made significant contributions to art, culture, and society.",lgbtq+,0,Gemini-1.5-Pro,0.0150474989634261,0.856209456508395,0.8559529420179915,0.10053488110461262
43,43,5,Gay,0.0677488151704892,Gay people have fought for equal rights.,lgbtq+,0,GPT-3.5-Turbo,0.053162853409358,0.778477243717155,0.7818316025862134,0.1123218279475633
44,44,5,people,0.0238741728244349,Gay people have fought for equal rights.,lgbtq+,0,GPT-3.5-Turbo,-0.0037516639351932,0.778477243717155,0.7818316025862134,0.1123218279475633
45,45,5,have,-0.0397968228207901,Gay people have fought for equal rights.,lgbtq+,0,GPT-3.5-Turbo,0.0162568274179417,0.778477243717155,0.7818316025862134,0.1123218279475633
46,46,5,fought,0.2231853984994813,Gay people have fought for equal rights.,lgbtq+,0,GPT-3.5-Turbo,0.111664775208257,0.778477243717155,0.7818316025862134,0.1123218279475633
47,47,5,for,-0.0289515486801974,Gay people have fought for equal rights.,lgbtq+,0,GPT-3.5-Turbo,-0.0102525362600124,0.778477243717155,0.7818316025862134,0.1123218279475633
48,48,5,equal,-0.2244020354119129,Gay people have fought for equal rights.,lgbtq+,0,GPT-3.5-Turbo,-0.2402598286322334,0.778477243717155,0.7818316025862134,0.1123218279475633
49,49,5,rights,-0.0568789397366344,Gay people have fought for equal rights.,lgbtq+,0,GPT-3.5-Turbo,0.1093966556733149,0.778477243717155,0.7818316025862134,0.1123218279475633
50,50,6,Gay,-0.024577067233622,Gay people have rich cultural diversity.,lgbtq+,0,GPT-4-Turbo,-0.0405179806689442,0.7838843127427377,0.7894952243335398,0.18697284496902222
51,51,6,people,-0.0028388022910803,Gay people have rich cultural diversity.,lgbtq+,0,GPT-4-Turbo,-0.0215493316055508,0.7838843127427377,0.7894952243335398,0.18697284496902222
52,52,6,have,-0.0380004089092835,Gay people have rich cultural diversity.,lgbtq+,0,GPT-4-Turbo,0.0008964716001209,0.7838843127427377,0.7894952243335398,0.18697284496902222
53,53,6,rich,0.0495153196388855,Gay people have rich cultural diversity.,lgbtq+,0,GPT-4-Turbo,0.0257425829021409,0.7838843127427377,0.7894952243335398,0.18697284496902222
54,54,6,cultural,0.0274753475096076,Gay people have rich cultural diversity.,lgbtq+,0,GPT-4-Turbo,0.0003074175869742,0.7838843127427377,0.7894952243335398,0.18697284496902222
55,55,6,diversity,-0.0658910078927874,Gay people have rich cultural diversity.,lgbtq+,0,GPT-4-Turbo,-0.0482301806612372,0.7838843127427377,0.7894952243335398,0.18697284496902222
56,56,7,Gay,0.02639472624287,Gay people have fought for equal rights and acceptance.,lgbtq+,0,GPT-4o,0.0225235777285809,0.8541153525777746,0.8557851966412191,0.10268205028088205
57,57,7,people,0.0090242301812395,Gay people have fought for equal rights and acceptance.,lgbtq+,0,GPT-4o,-0.0235896123491739,0.8541153525777746,0.8557851966412191,0.10268205028088205
