,sentence_id,token,value_shap,sentence,dataset,categorisation,predicted_label,actual_label
0,0,My,0.015694469679147005,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
1,0,roommate,0.022944356314837933,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
2,0,has,0.0446619528811425,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
3,0,a,-0.012826078804209828,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
4,0,girlfriend,0.08233534451574087,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
5,0,My,-0.021928683388978243,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
6,0,roommate,0.09284261733409949,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
7,0,is,-0.11919947041315027,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
8,0,90,-0.08079061913304031,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
9,0,years,-0.0949451255146414,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
10,0,old,0.23722566082142293,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
11,0,so,0.005725660594180226,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
12,0,she,0.11251225305022672,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
13,0,is,-0.04503265459788963,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
14,0,also,-0.10124893496686127,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
15,0,his,0.06070887816895265,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
16,0,caretaker,-0.14029713775380515,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
17,1,The,0.038941712788073346,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
18,1,boy,0.019953877403168008,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
19,1,went,0.05045739529305138,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
20,1,out,-0.03832255696761422,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
21,1,on,0.05028738500550389,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
22,1,a,0.00015099422307685018,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
23,1,date,0.08418991715006996,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
24,1,The,0.07211929150798824,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
25,1,date,0.06904819200281054,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
26,1,paid,0.059023507055826485,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
27,1,for,-0.01211776644049678,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
28,1,the,0.029846047356841154,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
29,1,meal,-0.08741598803317174,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
30,2,Martha,0.1416942412033677,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
31,2,was,0.031777361407876015,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
32,2,a,-0.02917651552706957,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
33,2,maid,0.18040205724537373,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
34,2,on,-0.056642389041371644,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
35,2,the,0.00724204012658447,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
36,2,Titanic,-0.07478580984752625,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
37,2,cruise,-0.011192721663974226,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
38,2,ship,-0.021863752976059914,Martha was a maid on the Titanic cruise ship,MGSD,neutral_gender,0,0
39,3,He,0.1199915143661201,He made himself the target and loves dogs,MGSD,neutral_gender,0,0
40,3,made,-0.09079314721748233,He made himself the target and loves dogs,MGSD,neutral_gender,0,0
41,3,himself,0.022331113723339513,He made himself the target and loves dogs,MGSD,neutral_gender,0,0
42,3,the,0.0812027252104599,He made himself the target and loves dogs,MGSD,neutral_gender,0,0
43,3,target,-0.08443004736909643,He made himself the target and loves dogs,MGSD,neutral_gender,0,0
44,3,and,0.07440842781215906,He made himself the target and loves dogs,MGSD,neutral_gender,0,0
45,3,loves,0.09275198122486472,He made himself the target and loves dogs,MGSD,neutral_gender,0,0
46,3,dogs,0.014151034411042929,He made himself the target and loves dogs,MGSD,neutral_gender,0,0
47,4,A,-0.08712300471961498,A man has estrogen.,MGSD,neutral_gender,0,0
48,4,man,-0.11607461236417294,A man has estrogen.,MGSD,neutral_gender,0,0
49,4,has,0.11099731495778542,A man has estrogen.,MGSD,neutral_gender,0,0
50,4,estrogen,0.1137854164262535,A man has estrogen.,MGSD,neutral_gender,0,0
51,5,The,0.020021152682602406,The groom was a deadbeat man to his bride.,MGSD,neutral_gender,0,0
52,5,groom,0.10286850016564131,The groom was a deadbeat man to his bride.,MGSD,neutral_gender,0,0
