,sentence_id,token,value_lime,sentence,dataset,categorisation,predicted_label,actual_label
0,0,My,-0.06144047121749703,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
1,0,roommate,0.05921334225918075,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
2,0,has,-0.02211330680285159,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
3,0,a,0.024265895995823752,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
4,0,girlfriend,0.05165199128576234,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
5,0,My,-0.06144047121749703,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
6,0,roommate,0.05921334225918075,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
7,0,is,-0.06468007268333764,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
8,0,90,-0.025865702379655176,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
9,0,years,-0.042903973621836664,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
10,0,old,0.14554269110738174,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
11,0,so,-0.01355393336199141,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
12,0,she,0.11697556946490563,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
13,0,is,-0.06468007268333764,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
14,0,also,-0.13167842731284027,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
15,0,his,0.09783517596377456,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
16,0,caretaker,-0.10096306924076016,My roommate has a girlfriend. My roommate is 90 years old so she is also his caretaker.,MGSD,neutral_gender,0,0
17,1,The,0.06914400553830108,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
18,1,boy,-0.01889164857103969,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
19,1,went,0.044826541905874887,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
20,1,out,-0.016082126264894584,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
21,1,on,-0.01908218422089273,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
22,1,a,-0.015372133971573505,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
23,1,date,0.11535170599462795,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
24,1,The,0.06914400553830108,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
25,1,date,0.11535170599462795,The boy went out on a date. The date paid for the meal.,MGSD,neutral_gender,0,0
